GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inline-maven-plugin,org.basepom.inline.mojo,ScopeLimitingFilter,142,0,18,0,33,0,21,0,7,0
inline-maven-plugin,org.basepom.inline.mojo,PomUtil,115,154,9,7,16,32,7,5,1,3
inline-maven-plugin,org.basepom.inline.mojo,InlineMojo,948,0,62,0,199,0,59,0,28,0
inline-maven-plugin,org.basepom.inline.mojo,ScopeLimitingFilter.Scope,33,0,0,0,2,0,1,0,1,0
inline-maven-plugin,org.basepom.inline.mojo,DependencyBuilder,260,0,14,0,59,0,16,0,9,0
inline-maven-plugin,org.basepom.inline.mojo,PluginLog,215,0,2,0,56,0,11,0,10,0
inline-maven-plugin,org.basepom.inline.mojo,ArtifactIdentifier,212,0,20,0,40,0,24,0,14,0
inline-maven-plugin,org.basepom.inline.mojo,DependencyBuilder.ProjectKey,110,0,12,0,20,0,11,0,5,0
inline-maven-plugin,org.basepom.inline.mojo,InlineDependency,77,0,4,0,19,0,12,0,10,0
inline-maven-plugin,org.basepom.inline.mojo,HelpMojo,763,0,108,0,153,0,70,0,16,0
